2011-08-23 05:21:43 status unpacked libslang2 2.2.2-4ubuntu2
2011-08-23 05:21:43 status unpacked libslang2 2.2.2-4ubuntu2
2011-08-23 05:21:43 install libss2 <none> 1.41.14-1ubuntu3
2011-08-23 05:21:43 status half-installed libss2 1.41.14-1ubuntu3
2011-08-23 05:21:43 status unpacked libss2 1.41.14-1ubuntu3
2011-08-23 05:21:43 status unpacked libss2 1.41.14-1ubuntu3
2011-08-23 05:21:43 install libssl0.9.8 <none> 0.9.8o-5ubuntu1
2011-08-23 05:21:43 status half-installed libssl0.9.8 0.9.8o-5ubuntu1
2011-08-23 05:21:44 status unpacked libssl0.9.8 0.9.8o-5ubuntu1
2011-08-23 05:21:44 status unpacked libssl0.9.8 0.9.8o-5ubuntu1
2011-08-23 05:21:44 install libtext-charwidth-perl <none> 0.04-6
2011-08-23 05:21:44 status half-installed libtext-charwidth-perl 0.04-6
2011-08-23 05:21:44 status unpacked libtext-charwidth-perl 0.04-6
2011-08-23 05:21:44 status unpacked libtext-charwidth-perl 0.04-6
2011-08-23 05:21:44 install libtext-iconv-perl <none> 1.7-2
2011-08-23 05:21:44 status half-installed libtext-iconv-perl 1.7-2
2011-08-23 05:21:44 status unpacked libtext-iconv-perl 1.7-2
2011-08-23 05:21:44 status unpacked libtext-iconv-perl 1.7-2
2011-08-23 05:21:44 install libtext-wrapi18n-perl <none> 0.06-7
2011-08-23 05:21:44 status half-installed libtext-wrapi18n-perl 0.06-7
2011-08-23 05:21:44 status unpacked libtext-wrapi18n-perl 0.06-7
2011-08-23 05:21:44 status unpacked libtext-wrapi18n-perl 0.06-7
2011-08-23 05:21:44 install libudev0 <none> 167-0ubuntu3
2011-08-23 05:21:44 status half-installed libudev0 167-0ubuntu3
2011-08-23 05:21:44 status unpacked libudev0 167-0ubuntu3
2011-08-23 05:21:44 status unpacked libudev0 167-0ubuntu3
2011-08-23 05:21:44 install libusb-0.1-4 <none> 2:0.1.12-17
2011-08-23 05:21:44 status half-installed libusb-0.1-4 2:0.1.12-17
2011-08-23 05:21:44 status unpacked libusb-0.1-4 2:0.1.12-17
2011-08-23 05:21:44 status unpacked libusb-0.1-4 2:0.1.12-17
2011-08-23 05:21:44 install libuuid1 <none> 2.17.2-9.1ubuntu4
2011-08-23 05:21:44 status half-installed libuuid1 2.17.2-9.1ubuntu4
2011-08-23 05:21:44 status unpacked libuuid1 2.17.2-9.1ubuntu4
2011-08-23 05:21:44 status unpacked libuuid1 2.17.2-9.1ubuntu4
2011-08-23 05:21:44 install locales <none> 2.13+git20100825-4
2011-08-23 05:21:44 status half-installed locales 2.13+git20100825-4
2011-08-23 05:21:46 status unpacked locales 2.13+git20100825-4
2011-08-23 05:21:46 status unpacked locales 2.13+git20100825-4
2011-08-23 05:21:46 install login <none> 1:4.1.4.2+svn3283-3ubuntu1
2011-08-23 05:21:46 status half-installed login 1:4.1.4.2+svn3283-3ubuntu1
2011-08-23 05:21:46 status unpacked login 1:4.1.4.2+svn3283-3ubuntu1
2011-08-23 05:21:46 status unpacked login 1:4.1.4.2+svn3283-3ubuntu1
2011-08-23 05:21:47 install lsb-base <none> 4.0-0ubuntu11
2011-08-23 05:21:47 status half-installed lsb-base 4.0-0ubuntu11
2011-08-23 05:21:47 status unpacked lsb-base 4.0-0ubuntu11
2011-08-23 05:21:47 status unpacked lsb-base 4.0-0ubuntu11
2011-08-23 05:21:47 install makedev <none> 2.3.1-89ubuntu1
2011-08-23 05:21:47 status half-installed makedev 2.3.1-89ubuntu1
2011-08-23 05:21:47 status unpacked makedev 2.3.1-89ubuntu1
2011-08-23 05:21:47 status unpacked makedev 2.3.1-89ubuntu1
2011-08-23 05:21:47 upgrade mawk 1.3.3-15ubuntu2 1.3.3-15ubuntu2
2011-08-23 05:21:47 status half-configured mawk 1.3.3-15ubuntu2
2011-08-23 05:21:47 status unpacked mawk 1.3.3-15ubuntu2
2011-08-23 05:21:47 status half-installed mawk 1.3.3-15ubuntu2
2011-08-23 05:21:47 status half-installed mawk 1.3.3-15ubuntu2
2011-08-23 05:21:47 status unpacked mawk 1.3.3-15ubuntu2
2011-08-23 05:21:47 status unpacked mawk 1.3.3-15ubuntu2
2011-08-23 05:21:48 install module-init-tools <none> 3.12-1ubuntu6
2011-08-23 05:21:48 status half-installed module-init-tools 3.12-1ubuntu6
2011-08-23 05:21:48 status unpacked module-init-tools 3.12-1ubuntu6
2011-08-23 05:21:48 status unpacked module-init-tools 3.12-1ubuntu6
2011-08-23 05:21:48 install mount <none> 2.17.2-9.1ubuntu4
2011-08-23 05:21:48 status half-installed mount 2.17.2-9.1ubuntu4
2011-08-23 05:21:48 status unpacked mount 2.17.2-9.1ubuntu4
2011-08-23 05:21:48 status unpacked mount 2.17.2-9.1ubuntu4
2011-08-23 05:21:48 install mountall <none> 2.25ubuntu1
2011-08-23 05:21:48 status half-installed mountall 2.25ubuntu1
