2023-10-07 19:07:34 status half-installed libudev1:armhf 252.17-1~deb12u1
2023-10-07 19:07:34 status unpacked libudev1:armhf 252.17-1~deb12u1
2023-10-07 19:07:34 install libunistring2:armhf <none> 1.0-2
2023-10-07 19:07:34 status half-installed libunistring2:armhf 1.0-2
2023-10-07 19:07:35 status unpacked libunistring2:armhf 1.0-2
2023-10-07 19:07:35 install libuuid1:armhf <none> 2.38.1-5+b1
2023-10-07 19:07:35 status half-installed libuuid1:armhf 2.38.1-5+b1
2023-10-07 19:07:35 status unpacked libuuid1:armhf 2.38.1-5+b1
2023-10-07 19:07:35 install libxxhash0:armhf <none> 0.8.1-1
2023-10-07 19:07:35 status half-installed libxxhash0:armhf 0.8.1-1
2023-10-07 19:07:35 status unpacked libxxhash0:armhf 0.8.1-1
2023-10-07 19:07:35 install libzstd1:armhf <none> 1.5.4+dfsg2-5
2023-10-07 19:07:35 status half-installed libzstd1:armhf 1.5.4+dfsg2-5
2023-10-07 19:07:35 status unpacked libzstd1:armhf 1.5.4+dfsg2-5
2023-10-07 19:07:35 install login:armhf <none> 1:4.13+dfsg1-1+b1
2023-10-07 19:07:35 status half-installed login:armhf 1:4.13+dfsg1-1+b1
2023-10-07 19:07:35 status unpacked login:armhf 1:4.13+dfsg1-1+b1
2023-10-07 19:07:35 install logsave:armhf <none> 1.47.0-2
2023-10-07 19:07:35 status half-installed logsave:armhf 1.47.0-2
2023-10-07 19:07:35 status unpacked logsave:armhf 1.47.0-2
2023-10-07 19:07:35 upgrade mawk:armhf 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2023-10-07 19:07:35 status half-configured mawk:armhf 1.3.4.20200120-3.1
2023-10-07 19:07:35 status unpacked mawk:armhf 1.3.4.20200120-3.1
2023-10-07 19:07:35 status half-installed mawk:armhf 1.3.4.20200120-3.1
2023-10-07 19:07:35 status unpacked mawk:armhf 1.3.4.20200120-3.1
2023-10-07 19:07:35 install mount:armhf <none> 2.38.1-5+b1
2023-10-07 19:07:35 status half-installed mount:armhf 2.38.1-5+b1
2023-10-07 19:07:35 status unpacked mount:armhf 2.38.1-5+b1
2023-10-07 19:07:35 install ncurses-base:all <none> 6.4-4
2023-10-07 19:07:35 status half-installed ncurses-base:all 6.4-4
2023-10-07 19:07:35 status unpacked ncurses-base:all 6.4-4
2023-10-07 19:07:35 install ncurses-bin:armhf <none> 6.4-4
2023-10-07 19:07:35 status half-installed ncurses-bin:armhf 6.4-4
2023-10-07 19:07:35 status unpacked ncurses-bin:armhf 6.4-4
2023-10-07 19:07:35 install passwd:armhf <none> 1:4.13+dfsg1-1+b1
2023-10-07 19:07:35 status half-installed passwd:armhf 1:4.13+dfsg1-1+b1
2023-10-07 19:07:36 status unpacked passwd:armhf 1:4.13+dfsg1-1+b1
2023-10-07 19:07:36 upgrade perl-base:armhf 5.36.0-7 5.36.0-7
2023-10-07 19:07:36 status half-configured perl-base:armhf 5.36.0-7
2023-10-07 19:07:36 status unpacked perl-base:armhf 5.36.0-7
2023-10-07 19:07:36 status half-installed perl-base:armhf 5.36.0-7
2023-10-07 19:07:36 status unpacked perl-base:armhf 5.36.0-7
2023-10-07 19:07:37 install sed:armhf <none> 4.9-1
2023-10-07 19:07:37 status half-installed sed:armhf 4.9-1
2023-10-07 19:07:37 status unpacked sed:armhf 4.9-1
2023-10-07 19:07:37 install sysvinit-utils:armhf <none> 3.06-4
2023-10-07 19:07:37 status half-installed sysvinit-utils:armhf 3.06-4
2023-10-07 19:07:37 status unpacked sysvinit-utils:armhf 3.06-4
2023-10-07 19:07:37 install tar:armhf <none> 1.34+dfsg-1.2
2023-10-07 19:07:37 status half-installed tar:armhf 1.34+dfsg-1.2
2023-10-07 19:07:37 status unpacked tar:armhf 1.34+dfsg-1.2
2023-10-07 19:07:37 install tzdata:all <none> 2023c-5
2023-10-07 19:07:37 status half-installed tzdata:all 2023c-5
2023-10-07 19:07:38 status unpacked tzdata:all 2023c-5
2023-10-07 19:07:38 install usr-is-merged:all <none> 35
2023-10-07 19:07:38 status half-installed usr-is-merged:all 35
2023-10-07 19:07:38 status unpacked usr-is-merged:all 35
2023-10-07 19:07:38 install util-linux:armhf <none> 2.38.1-5+b1
2023-10-07 19:07:38 status half-installed util-linux:armhf 2.38.1-5+b1
2023-10-07 19:07:38 status unpacked util-linux:armhf 2.38.1-5+b1
2023-10-07 19:07:38 install util-linux-extra:armhf <none> 2.38.1-5+b1
2023-10-07 19:07:38 status half-installed util-linux-extra:armhf 2.38.1-5+b1
2023-10-07 19:07:38 status unpacked util-linux-extra:armhf 2.38.1-5+b1
2023-10-07 19:07:38 install zlib1g:armhf <none> 1:1.2.13.dfsg-1
2023-10-07 19:07:38 status half-installed zlib1g:armhf 1:1.2.13.dfsg-1
2023-10-07 19:07:38 status unpacked zlib1g:armhf 1:1.2.13.dfsg-1
2023-10-07 19:07:38 startup packages configure
2023-10-07 19:07:38 configure debian-archive-keyring:all 2023.3+deb12u1 <none>
2023-10-07 19:07:38 status unpacked debian-archive-keyring:all 2023.3+deb12u1
2023-10-07 19:07:39 status half-configured debian-archive-keyring:all 2023.3+deb12u1
2023-10-07 19:07:39 status installed debian-archive-keyring:all 2023.3+deb12u1
2023-10-07 19:07:39 configure usr-is-merged:all 35 <none>
2023-10-07 19:07:39 status unpacked usr-is-merged:all 35
2023-10-07 19:07:39 status half-configured usr-is-merged:all 35
2023-10-07 19:07:39 status installed usr-is-merged:all 35
2023-10-07 19:07:39 configure libaudit-common:all 1:3.0.9-1 <none>
